UserId,Session,ContentIndex,FocusScalingFactor,ContextScalingFactor,Score
604,1,1,0.8,0.6,0.8419421
604,1,3,1,0.2,0.07074618
604,1,4,0.8,0.4,0.164435
604,1,2,1,0.6,0.4933372
604,1,5,1,0.6,0.2646867
604,1,3,0.6,0.4,0.3466535
604,1,5,0.8,0.2,0
604,1,4,1,0.8,0.2203933
604,1,1,1,0.6,0.333809
604,1,3,1,0.4,0.333809
604,1,2,1,0.2,0
604,1,3,0.8,0.2,0
604,1,1,0.8,0.4,0.09404749
604,1,1,1,1,0.8237689
604,1,2,0.6,0.2,0.2913237
604,1,3,0.8,0.4,0.3658857
604,1,5,0.6,0.2,0.04674495
604,1,1,0.6,0.4,0.1850372
604,1,1,0.8,0.2,0.07494333
604,1,4,0.8,0.2,0.01914934
604,1,5,1,1,1
604,1,2,0.8,0.4,0.2134555
604,1,3,0.6,0.2,0.004616874
604,1,2,0.8,0.2,0.1433045
604,1,2,1,1,0.9362407
604,1,4,1,0.6,0.9362407
604,1,2,0.6,0.4,0.2076527
604,1,3,1,1,1
604,1,1,0.6,0.2,0.01238747
604,1,5,0.8,0.4,0.279647
604,1,4,0.8,0.4,0.4882226
604,1,5,0.8,0.6,0.4882226
604,1,4,1,1,1
604,1,5,1,0.4,0.2471316
604,1,5,1,0.8,0.4483174
604,1,3,1,0.8,1
604,1,2,0.8,0.6,0.3128833
604,1,5,0.6,0.4,0.2227245
604,1,1,1,0.2,0.06475411
604,1,4,0.6,0.2,0
604,1,1,1,0.6,0.7711523
604,1,3,0.8,0.6,0.7711523
604,1,1,0.6,0.4,0.6136103
604,1,2,1,0.4,0.1309296
604,1,1,1,0.8,0.9185869
604,1,2,0.8,0.4,0.270562
604,1,1,1,0.4,0.3259978
604,1,4,0.6,0.4,0.5930984
604,1,5,1,0.2,0.008332552
604,1,3,0.8,0.4,0.06315193
605,1,4,1,0.4,0.6794194
605,1,1,1,0.4,0.4866687
605,1,2,0.8,0.6,0.9579906
605,1,3,1,0.8,0.9579906
605,1,3,1,0.2,0.9579906
605,1,4,0.6,0.4,0.6249868
605,1,2,1,0.2,0.9737991
605,1,3,1,1,0.9970861
605,1,3,1,0.6,0.9970861
605,1,3,0.8,0.4,0.9970861
605,1,1,1,0.6,0.3632954
605,1,5,0.8,0.6,0.9548588
605,1,1,0.8,0.4,0.3951055
605,1,5,1,0.2,0.9542319
605,1,4,1,0.6,0.7344171
605,1,5,1,1,0.9694821
605,1,1,0.8,0.2,0.3636381
605,1,1,0.6,0.4,0.3636381
605,1,3,1,1,0.9669315
605,1,3,1,0.4,0.9669315
605,1,5,1,0.4,0.9669315
605,1,1,0.6,0.2,0.3486214
605,1,4,1,0.8,0.9301094
605,1,3,0.8,0.2,0.9301094
605,1,1,1,0.2,0.5493783
605,1,4,1,0.2,0.6430864
605,1,5,0.8,0.4,0.989675
605,1,2,0.6,0.2,0.989675
605,1,1,1,1,0.65524
605,1,5,0.6,0.2,0.9865721
605,1,1,0.8,0.6,0.7447169
605,1,3,0.6,0.2,0.9733146
605,1,2,0.6,0.4,1
605,1,4,1,0.6,0.7176864
605,1,4,1,1,0.7176864
605,1,4,0.6,0.2,0.5622902
605,1,4,1,0.2,0.6290403
605,1,4,0.8,0.2,0.6290403
605,1,2,1,0.8,0.9656041
605,1,3,0.8,0.2,0.9656041
605,1,4,0.8,0.4,0.7732735
605,1,3,1,1,0.9852352
605,1,5,0.8,0.2,0.9852352
605,1,4,0.8,0.6,0.7615413
605,1,3,0.8,0.6,0.986693
605,1,5,1,0.6,0.986693
605,1,2,0.8,0.4,0.986693
605,1,2,1,0.4,0.986693
605,1,2,1,0.6,0.986693
605,1,2,1,1,0.986693
605,1,1,1,0.8,0.7448674
605,1,3,0.6,0.4,0.9880521
605,1,5,1,0.8,0.9880521
605,1,5,0.6,0.4,0.9880521
605,1,2,0.8,0.2,0.9880521
606,1,2,1,0.8,0.7821692
606,1,3,0.6,0.2,0.2819758
606,1,2,0.8,0.2,0.5028254
606,1,5,0.6,0.4,0.6862427
606,1,4,1,0.2,0.1261712
606,1,2,0.6,0.2,0.3527301
606,1,4,0.8,0.4,0.6814775
606,1,1,0.8,0.2,0.7694666
606,1,1,0.8,0.4,0.6424948
606,1,4,0.8,0.6,0.7430707
606,1,1,1,0.4,0.9942151
606,1,4,1,0.8,0.9028984
606,1,3,0.6,0.4,0.5026869
606,1,3,0.8,0.4,0.3815273
606,1,4,0.8,0.2,0.9094662
606,1,1,0.6,0.4,0.5174299
606,1,2,1,0.6,0.7491834
606,1,2,1,0.2,0.7491834
606,1,4,0.6,0.4,0.6361921
606,1,5,1,1,0.9900221
606,1,3,1,1,0.6772615
606,1,2,1,0.4,1
606,1,2,0.8,0.6,0.7048279
606,1,1,1,0.8,0.5038967
606,1,3,1,0.8,0.6541082
606,1,1,1,0.6,0.7888733
606,1,4,1,1,0.8570453
606,1,3,1,0.6,0.407662
606,1,1,0.6,0.2,0.6364978
606,1,3,1,0.6,0.6364978
606,1,4,1,0.2,0.7014982
606,1,1,1,1,0.337005
606,1,5,0.8,0.6,0.6458229
606,1,3,1,1,0.5123563
606,1,4,1,0.6,0.5123563
606,1,2,0.6,0.4,0.5123563
606,1,3,1,0.2,0.7782459
606,1,2,1,1,0.8555347
606,1,1,1,0.2,0.2614161
606,1,3,1,0.4,0.1535683
606,1,4,1,0.4,0.6504502
606,1,5,0.8,0.2,0.7161354
606,1,5,0.6,0.2,0.4309878
606,1,1,1,0.4,0.5053837
606,1,1,1,0.4,0.184736
606,1,2,0.8,0.4,0.3148916
606,1,3,0.8,0.2,0.6664935
606,1,5,1,0.4,0.78314
606,1,5,1,0.2,0
606,1,3,0.8,0.6,0.3827852
606,1,5,0.8,0.4,0.6508754
606,1,5,1,0.8,0
606,1,5,1,0.6,0.09531615
606,1,4,0.6,0.2,0.3114023
606,1,1,0.8,0.6,0.4766845
607,1,3,1,0.2,0.4085051
607,1,1,1,1,0.3948085
607,1,4,1,0.6,0.5493063
607,1,2,1,0.2,0.3620465
607,1,5,1,0.6,0.694366
607,1,2,1,0.8,0.5988443
607,1,5,0.6,0.2,0.4540148
607,1,1,0.8,0.2,0.524577
607,1,5,0.6,0.4,0.8532938
607,1,3,0.6,0.2,0.7618521
607,1,2,1,0.8,0.6664047
607,1,5,0.8,0.6,0.6450228
607,1,5,0.8,0.2,0.4459671
607,1,4,0.8,0.2,0.411969
607,1,2,1,0.6,0.6931171
607,1,3,1,0.6,0.8212745
607,1,1,0.8,0.4,0.3691775
